unnamed_4,list_of_countries,what_is_your_year_of_birth_just_the_year_eg_1995_,how_do_you_describe_yourself___selected_choice,what_is_your_first_degree_subject_area,student_id,date_range__week_2,monday,tuesday,wednesday,thursday,friday,saturday,sunday,student_time_in_course,avg_time_per_user,total_items,total_logins,assignments,learning_materials,module_information_handbook,reading_list,week_1,week_2,week_3_,assignments1,learning_materials1,module_information_handbook,reading_list1,week_11,week_2_,week_3,assignments2,learning_materials2,module_information_handbook1,reading_list2,week_12,week_21,week_3
60.0,Nigeria,1996,Male,"CAH13-01	Architecture, building and planning",1,10/10/22 - 16/10/22,0.15722166666666668,2.300555,0.0,0.0,0.0,0.0,0.0,02:27:28,02:21:13,3,5,0,0.6811116666666667,0.0,0.0,0.006111666666666666,1.7591666666666665,0.0,0,0,3,0,1,2,0,,2022-10-10 14:16:49.242,,,2022-10-10 14:25:20.527,2022-10-10 14:16:55.852,
70.0,Nigeria,1996,Male,CAH07-02	Chemistry,2,10/10/22 - 16/10/22,0.08527833333333333,1.9241666666666668,0.0,0.0,0.0,0.0,0.0,02:00:34,02:21:13,3,4,0,0.001945,0.0011116666666666666,0.0,0.0,0.01638833333333333,0.0,0,2,1,0,1,0,0,,2022-10-10 16:07:41.250,2022-10-10 16:09:02.015,,,2022-10-10 16:07:44.741,
65.0,Nigeria,1990,Female,CAH15-02	Economics,3,10/10/22 - 16/10/22,0.7958333333333333,2.403888333333333,0.0,0.0,0.0,0.0,0.013611666666666668,03:12:48,02:21:13,3,6,0,0.006390000000000001,0.0033333333333333335,0.0,0.0,0.5608333333333333,0.0,0,4,2,0,0,4,0,,2022-10-10 20:32:28.517,2022-10-10 20:32:20.105,,,2022-10-10 20:32:35.934,
55.0,Nigeria,1991,Male,CAH15-02	Economics,4,10/10/22 - 16/10/22,0.0,0.0,0.0,0.0,0.06111166666666667,0.0,0.0,00:03:40,02:21:13,2,2,0,0.0013883333333333332,0.0,0.0,0.0,0.05777833333333334,0.0,0,1,0,0,0,1,0,,2022-10-14 12:27:18.186,,,,2022-10-14 12:27:22.967,
65.0,Pakistan,1998,Male,CAH17-01	Business and management,5,10/10/22 - 16/10/22,0.3375,3.0891666666666664,0.0,0.0,0.0,0.0,0.0,03:25:36,02:21:13,5,6,0,0.003888333333333333,0.0027783333333333336,0.0,0.0375,0.0047216666666666665,0.0,0,4,1,0,3,1,0,,2022-10-11 14:02:17.998,2022-10-11 14:13:01.991,,2022-10-11 14:02:25.595,2022-10-11 15:29:04.753,
62.0,Nigeria,1985,Male,CAH10-01	Engineering,6,10/10/22 - 16/10/22,0.0,3.400276666666666,0.0,0.0,0.0,0.018609999999999998,0.0,03:25:07,02:21:13,6,13,0,0.061665,0.000555,0.0,0.26138833333333333,2.856666666666667,0.0008333333333333334,0,13,1,0,2,8,2,,2022-10-11 11:22:45.832,2022-10-11 15:44:20.328,,2022-10-11 15:31:37.239,2022-10-11 11:25:45.811,2022-10-15 11:25:51.164
61.0,Nigeria,1985,Male,CAH11-01	Computing,7,10/10/22 - 16/10/22,0.0,3.6866666666666665,0.0,0.0,2.3930549999999995,0.6036116666666665,0.0,06:41:00,02:21:13,10,16,0,0.04833333333333333,0.010833333333333334,0.08111166666666667,0.9777766666666667,1.79639,0.033889999999999997,0,15,1,2,3,8,2,,2022-10-11 14:02:38.156,2022-10-15 00:40:03.300,2022-10-14 23:11:34.794,2022-10-11 14:03:04.643,2022-10-11 14:37:03.267,2022-10-15 01:00:35.391
77.0,United Kingdom of Great Britain and Northern Ireland,2001,Female,"CAH07-04	General, applied and forensic sciences",8,10/10/22 - 16/10/22,0.18444333333333332,2.943888333333333,0.0,0.0013883333333333332,0.0,0.0,0.0,03:07:46,02:21:13,3,9,0,0.002501666666666667,0.008888333333333333,0.0,0.0,0.07444333333333333,0.0,0,7,1,0,0,7,0,,2022-10-10 14:08:37.975,2022-10-11 14:24:44.977,,,2022-10-10 14:08:39.690,
61.0,Nigeria,1976,Male,CAH03-01	Biosciences,9,10/10/22 - 16/10/22,0.033611666666666665,0.0,0.21833333333333332,0.0,0.0,0.0,2.653611666666667,02:54:20,02:21:13,5,6,0,0.005278333333333333,0.004166666666666667,0.0011116666666666666,0.0,0.005278333333333333,0.0,0,2,1,1,1,1,0,,2022-10-10 05:26:30.737,2022-10-16 15:57:37.969,2022-10-16 15:57:34.365,2022-10-10 05:26:45.779,2022-10-12 08:59:55.836,
63.0,India,1998,Female,CAH11-01	Computing,10,10/10/22 - 16/10/22,0.3786116666666667,1.9947233333333332,0.0,0.0027783333333333336,0.0,0.0,0.0,02:22:34,02:21:13,4,4,0,0.49,0.0,0.010555,0.12638833333333332,0.0,0.0,0,2,1,2,1,0,0,,2022-10-11 14:05:07.468,2022-10-10 16:04:40.905,2022-10-10 16:04:38.345,2022-10-11 14:05:10.031,,
67.0,Nigeria,1996,Female,CAH07-02	Chemistry,11,10/10/22 - 16/10/22,0.0,2.7469449999999997,0.0125,0.0,0.0047216666666666665,0.016666666666666666,0.0,02:46:51,02:21:13,3,7,0,0.0036116666666666667,0.0,0.0,1.1288883333333333,0.14194500000000002,0.0,0,4,0,0,1,3,0,,2022-10-11 14:01:27.770,,,2022-10-11 14:09:43.154,2022-10-11 14:01:30.471,
