 Q1 Q12 Q14 Q10 Q10_4_TEXT Q16 Q17 Q18 Q14.1 Q17_1 Q17_2 Q17_3 Q17_4 Q17_5 Q17_6 Q17_7 Q17_8 Q17_9 Q17_10 Q17_11 Q1_1 Q1_2 Q1_3 Q1_4 Q1_5 Q1_6 Q1_7 Q1_8 Q1_9 Q1_10 Q7_1 Q7_2 Q7_3 Q7_4 Q7_5 Q7_6 Q7_7 Q7_8 Q7_9 Q7_10 Q7_11 Q7_12 Q7_13 Q7_14 Q7_15 Q7_16
0 "Performance Analytics in Data Science Teams 



Thank you in advance for taking the time to read this information and considering your participation in this study.
33 33 Nigeria 1970 "Prefer to self-describe"  "CAH17-01	Business and management" 16 "FINANCIAL AND INSURANCE ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Agree a little" "Disagree a little" "Agree a little" "Agree moderately" "Agree moderately" "Agree strongly" "Agree a little" "Diagree strongly" "Agree moderately" "Diagree strongly" Moderately  Enough Exactly Exactly "A Lot" Exactly "Not At All" "A Lot" "A Lot" Moderately "A Lot" Exactly Exactly "A Lot" Enough
34 34 "Sri Lanka" 1992 Female  "CAH17-01	Business and management" 5 "OTHER SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree strongly" "Neither agree nor disagree" "Agree strongly" "Neither agree nor disagree" "Agree strongly" "Agree moderately" "Agree moderately" "Neither agree nor disagree" "Agree strongly" "Disagree moderately" Exactly Exactly Exactly Exactly Exactly Exactly Exactly "Not At All" Enough "A Lot" "Not At All" "Not At All" "A Lot" Exactly Exactly "Not At All"
35 35 Nigeria 1999 Male  CAH11-01	Computing 7 "ACCOMMODATION AND FOOD SERVICE ACTIVITIES,FINANCIAL AND INSURANCE ACTIVITIES,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Strongly disagree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Agree a little" "Agree a little" "Agree strongly" "Diagree strongly" "Agree strongly" "Agree moderately" "Agree strongly" "Disagree moderately" "Agree strongly" "Agree a little" "A Little" Exactly Enough Moderately Enough Exactly "A Lot" Moderately "A Very Little" Exactly Moderately Moderately "A Lot" "A Little" Enough Moderately
36 36 Nigeria 1987 Female  "CAH07-04	General, applied and forensic sciences" 6 "ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Agree moderately" "Diagree strongly" "Agree moderately" "Disagree moderately" "Agree strongly" "Agree moderately" "Agree moderately" "Disagree moderately" "Agree moderately" "Disagree moderately" Exactly Moderately Exactly "Not At All" Exactly Exactly Exactly "A Very Little" Enough "A Lot" Enough Moderately "A Lot" "A Lot" "A Lot" "A Very Little"
37 37 "Sri Lanka" 1981 Male  "CAH17-01	Business and management" 17 "INFORMATION AND COMMUNICATION" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Somewhat disagree" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly disagree" "Strongly agree" "Agree moderately" "Agree moderately" "Neither agree nor disagree" "Agree moderately" "Agree strongly" "Agree a little" "Agree a little" "Diagree strongly" "Agree moderately" "Diagree strongly" Exactly Enough "A Lot" "Not At All" Enough Exactly "Not At All" "Not At All" Enough Exactly "Not At All" "Not At All" Exactly Exactly "Not At All" "Not At All"
38 38 Pakistan 1993 Male  CAH11-01	Computing 5 "INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Somewhat agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Agree strongly" "Diagree strongly" "Agree a little" "Disagree a little" "Agree strongly" "Agree a little" "Agree moderately" "Disagree moderately" "Disagree moderately" "Agree a little" "A Lot" Enough "A Lot" "A Lot" "A Lot" "A Lot" "A Lot" "A Very Little" "Not At All" "A Little" Moderately "Not At All" "A Lot" "A Lot" "A Lot" Enough
39 39 Pakistan 1991 Female  CAH11-01	Computing                                        
40 40 "Sri Lanka" 1996 Male  "CAH17-01	Business and management" 4 "INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat disagree" "Strongly agree" "Agree moderately" "Neither agree nor disagree" "Agree moderately" "Disagree a little" "Agree strongly" "Disagree a little" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" Exactly Moderately Moderately "Not At All" Exactly Exactly "A Lot" "Not At All" Enough "A Lot" "Not At All" "Not At All" Enough Exactly "Not At All" "Not At All"
41 41 India 1992 Male  CAH15-02	Economics 7 "FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree"                          
42 42 "United Kingdom of Great Britain and Northern Ireland" 1975 Female  "CAH07-01	Physics and astronomy" 10 "TRANSPORTATION AND STORAGE,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Strongly agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Disagree a little" "Diagree strongly" "Agree strongly" "Agree a little" "Agree strongly" "Agree moderately" "Agree strongly" "Disagree moderately" "Agree moderately" "Agree a little" Exactly Exactly "A Very Little" "A Very Little" Enough Exactly Enough "Not At All" "A Lot" Moderately Moderately "Not At All" Exactly Exactly "A Very Little" "A Very Little"
43 43 "Sri Lanka" 1990 Female  "CAH17-01	Business and management" 9.5 "FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat disagree" "Strongly agree"  "Neither agree nor disagree" "Agree moderately" "Disagree a little" "Agree strongly" "Agree strongly" "Agree a little" "Disagree moderately" "Neither agree nor disagree" "Disagree moderately" "A Lot" Exactly "Not At All" "Not At All" Moderately Exactly "A Lot" "Not At All" "Not At All" Exactly "Not At All" "Not At All" Exactly Exactly Exactly "Not At All"
44 44 Malaysia 1993 Male  "CAH17-01	Business and management" 4 "FINANCIAL AND INSURANCE ACTIVITIES" "I have extensive experience of teamworking" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Agree a little" "Agree a little" "Disagree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Neither agree nor disagree" Moderately Moderately Moderately Moderately Moderately Moderately Moderately Moderately Moderately Moderately "A Lot" "A Very Little" "A Little" Moderately Moderately "A Very Little"
45 45 Thailand 1993 Male  CAH10-01	Engineering 5 MANUFACTURING                                      
46 46 India 1994 Male  "CAH17-01	Business and management"  "FINANCIAL AND INSURANCE ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree moderately" "Agree strongly" "Diagree strongly" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" Exactly "A Lot" "Not At All" "Not At All" Enough "A Lot" "A Little" "A Very Little" Enough Exactly "Not At All" "Not At All" Moderately Exactly "A Little" "Not At All"
47 47 "United Kingdom of Great Britain and Northern Ireland" 1997 Female  "CAH26-01 Geography, earth and environmental studies"   "I have extensive experience of teamworking" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Disagree a little" "Diagree strongly" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree moderately" "Disagree a little" "Agree a little" "Disagree a little" "A Lot" "A Lot" Exactly "A Very Little" Enough Enough "A Lot" Moderately Moderately Moderately Moderately Moderately Enough "A Lot" Moderately Moderately
48 48 Malaysia 1992 Male  "CAH25-01	Creative arts and design" 5 "MANUFACTURING,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,ARTS, ENTERTAINMENT AND RECREATION,OTHER SERVICE ACTIVITIES" "I have some experience" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "A Lot" Enough "A Lot" "A Little"  Exactly Exactly Enough "A Lot" Enough "A Very Little"  "A Lot" "A Lot" "A Lot" "A Lot"
49 49 Nigeria 1984 Female  CAH11-01	Computing 8 "FINANCIAL AND INSURANCE ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Agree strongly" "Agree moderately" "Agree strongly" "Disagree a little" "Agree strongly" "Agree a little" "Agree strongly" "Diagree strongly" "Agree strongly" "Agree moderately" Exactly Exactly "A Lot" Enough Enough Enough Enough "A Lot" Enough Enough "A Lot" Enough Enough Enough "A Lot" "A Lot"
50 50 Nigeria 1992 Male  CAH11-01	Computing 6 "REAL ESTATE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree moderately" "Agree moderately" "Neither agree nor disagree" "Neither agree nor disagree" "Diagree strongly" "Agree moderately" "Diagree strongly" "A Lot" "A Lot" "A Lot" "Not At All" Exactly Exactly Exactly "Not At All" Exactly "A Lot" "Not At All" "Not At All" "A Lot" Exactly "A Lot" "Not At All"
51 51 Nigeria 1998 Female  CAH16-01	Law 1 "FINANCIAL AND INSURANCE ACTIVITIES,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Somewhat agree" "Agree strongly" "Diagree strongly" "Agree moderately" "Disagree moderately" "Agree strongly" "Disagree moderately" "Agree strongly" "Disagree moderately" "Neither agree nor disagree" "Disagree moderately" "A Lot" Exactly Exactly "Not At All" "A Lot" Exactly Moderately "Not At All" Enough "A Little" "A Very Little" "Not At All" Exactly Exactly Enough "Not At All"
52 52 Nigeria 1991 Female  "CAH10-03	Materials and technology" 5 "FINANCIAL AND INSURANCE ACTIVITIES" "I have some experience" "Strongly disagree"  "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Strongly disagree" "Neither agree nor disagree" "Diagree strongly" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Agree a little" "Diagree strongly" "Agree moderately" "Agree a little" "A Little" Moderately "A Little" Moderately Moderately Moderately Moderately Moderately Moderately  "Not At All"  Moderately Moderately Moderately "Not At All"
53 53 Nigeria 2001 Female  "CAH09-01	Mathematical sciences"  "INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Neither agree nor disagree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Disagree moderately" "Disagree moderately" "Agree moderately" "Agree moderately" "Agree strongly" "Agree moderately" "Agree a little" "Disagree moderately" "Agree a little" "Disagree a little" Moderately Moderately Enough "Not At All" Moderately Moderately Enough "Not At All" Moderately Moderately Moderately "Not At All" Enough "A Lot" Enough "Not At All"
54 54 Nigeria 1979 Female  CAH11-01	Computing 7 "INFORMATION AND COMMUNICATION" "I have some experience" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" "Agree moderately" "Neither agree nor disagree" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" Enough Exactly Moderately "A Little" "A Lot" "A Lot" "A Lot" "Not At All" Moderately Moderately  "Not At All" "A Lot" Exactly Exactly "Not At All"
55 55 Nigeria 1986 Female  "CAH10-03	Materials and technology" 13 "FINANCIAL AND INSURANCE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree"  "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Agree moderately" "Disagree a little"  "Neither agree nor disagree" "Agree moderately" "Agree a little" "Agree strongly" "Diagree strongly" "Agree a little" "Disagree moderately"       Exactly         
56 56 Nigeria 1986 Female  CAH11-01	Computing 11 "INFORMATION AND COMMUNICATION" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Neither agree nor disagree" "Strongly agree" "Agree a little" "Disagree moderately" "Agree moderately" "Diagree strongly" "Agree strongly" "Disagree moderately" "Agree moderately" "Disagree moderately" "Agree moderately" "Disagree moderately"                
57 57 Nigeria 1990 Female  "CAH17-01	Business and management"  "INFORMATION AND COMMUNICATION,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Agree a little" "Disagree moderately" "Agree strongly" "Diagree strongly" "Agree strongly" "Neither agree nor disagree" "Agree moderately" "Disagree moderately" "Agree moderately" "Diagree strongly"                
58 58 Nigeria 1992 Male  CAH03-01	Biosciences 7 "FINANCIAL AND INSURANCE ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Agree moderately" "Agree moderately"  "Disagree moderately" "Agree strongly" "Agree moderately" "Agree strongly" "Diagree strongly" "Agree moderately" "Agree moderately" Exactly Exactly "A Lot" Exactly Exactly Exactly "A Lot" "Not At All" "A Lot" Exactly "Not At All" "Not At All" "A Lot" Exactly "Not At All" "Not At All"
59 59 "Sri Lanka" 1991 Male  CAH10-01	Engineering 4 MANUFACTURING "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Strongly agree" "Agree strongly" "Disagree moderately" "Disagree moderately" "Disagree moderately" "Agree moderately" "Agree a little" "Agree a little" "Disagree moderately" "Agree moderately" "Disagree moderately" Exactly Exactly "Not At All" "Not At All" "A Lot" Exactly "Not At All" "Not At All" Enough Moderately "A Little" "A Little" "A Lot" "A Lot" Moderately "A Very Little"
60 60 "Viet Nam" 1997 Female  "CAH17-01	Business and management" 2 "ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have some experience" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Agree a little" "Neither agree nor disagree" "Agree a little" "Disagree a little" "Agree a little" "Disagree a little" "Agree a little" "Diagree strongly" "Disagree a little" "Neither agree nor disagree" "A Lot" Enough Enough Moderately Enough "A Lot" Enough Moderately "A Lot" "A Lot" "Not At All" "Not At All" "A Lot" "A Lot" "A Lot" "A Lot"
61 61 India 1993 Female  CAH10-01	Engineering 3 "INFORMATION AND COMMUNICATION,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES"                                      
62 62 Turkey 1996 Male  "CAH17-01	Business and management" 2 "INFORMATION AND COMMUNICATION,OTHER SERVICE ACTIVITIES" "I have some experience" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat disagree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Neither agree nor disagree" "Agree a little" "Agree moderately" "Disagree a little" "Agree moderately" "Agree a little" "Agree a little" "Diagree strongly" "Agree strongly" "Disagree a little" Enough "A Lot" Moderately "Not At All" Enough "A Lot" "A Very Little" "A Very Little" Moderately Exactly "Not At All" "Not At All" Moderately "A Lot" "A Lot" Moderately
63 63 "United Kingdom of Great Britain and Northern Ireland" 1998 Female  "CAH17-01	Business and management" 1 "EDUCATION,ARTS, ENTERTAINMENT AND RECREATION"                                      
64 64 Iran 1989 Female  "CAH15-04	Health and social care" 7 "ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Agree moderately" "Agree a little" "Agree a little" "Diagree strongly" "Agree strongly" "Disagree a little" "Neither agree nor disagree" "Diagree strongly" "Agree a little" "Disagree a little" Enough Enough Enough "A Little" Enough "A Lot" "A Little" "A Very Little" Enough Enough "A Very Little" "A Very Little" Enough Moderately "A Very Little" "A Very Little"
65 65 "Hong Kong (S.A.R.)" 2000 Male  "CAH13-01	Architecture, building and planning" 0  "I have some experience" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Neither agree nor disagree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Agree a little" "Disagree a little" "Agree a little" "Disagree moderately" "Neither agree nor disagree" "Agree moderately" "Agree moderately" "Agree a little" "Agree strongly" "Disagree a little" Exactly Enough "A Lot" "A Little" Enough "A Very Little" "A Lot" Exactly Moderately "A Lot" "Not At All" "A Little" Enough Moderately Enough Exactly
66 66 "Hong Kong (S.A.R.)" 1995 Female  "CAH15-01	Sociology, social policy and anthropology" 5 "INFORMATION AND COMMUNICATION,EDUCATION" "I have experience of teamworking and have also led teams" "Somewhat agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Somewhat agree" "Agree a little" "Neither agree nor disagree" "Agree moderately" "Agree a little" "Agree strongly" "Agree a little" "Agree strongly" "Disagree moderately" "Agree moderately" "Disagree a little" Enough Enough Moderately Moderately Enough Enough "A Lot" Enough Moderately Enough "A Very Little" "A Little" Enough Enough Enough Enough
67 67 India 1987 Female  "CAH17-01	Business and management" 8 "FINANCIAL AND INSURANCE ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree moderately" "Agree moderately" "Agree strongly" "Disagree a little" "Agree moderately" "Agree strongly" "Agree strongly" "Diagree strongly" "Agree moderately" "Agree a little" Exactly "A Lot" "Not At All" "Not At All" "A Lot" "A Lot" "Not At All" "Not At All" "A Lot" Exactly "Not At All" "Not At All" Exactly Exactly Exactly "Not At All"
68 68 Myanmar 1996 Female  CAH11-01	Computing 5 "INFORMATION AND COMMUNICATION,FINANCIAL AND INSURANCE ACTIVITIES,PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES,EDUCATION" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat disagree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat disagree" "Strongly agree" "Agree a little" "Neither agree nor disagree" "Agree strongly" "Disagree moderately" "Agree strongly" "Neither agree nor disagree" "Agree strongly" "Disagree moderately" "Agree moderately" "Disagree a little" Exactly "A Lot" Moderately "A Lot" Moderately Moderately "A Very Little" Moderately Enough Exactly "A Little" Moderately "A Lot" "A Lot" "A Little" "A Little"
69 69 "United Kingdom of Great Britain and Northern Ireland" 1992 Male  CAH10-01	Engineering 7 "MANUFACTURING,TRANSPORTATION AND STORAGE,PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY" "I have experience of teamworking and have also led teams" "Somewhat disagree" "Somewhat disagree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly disagree" "Neither agree nor disagree" "Neither agree nor disagree" "Disagree moderately" "Agree moderately" "Disagree a little" "Agree a little" "Agree moderately" "Agree moderately" "Disagree a little" "Agree moderately" "Agree moderately" "A Lot" Enough Enough "A Little" Enough Enough Enough Enough "A Lot" "Not At All" Exactly "A Little" Moderately Moderately "A Lot" Moderately
70 70 Nigeria 1995 Male  CAH15-02	Economics 3 "FINANCIAL AND INSURANCE ACTIVITIES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Neither agree nor disagree" "Strongly agree" "Agree moderately" "Neither agree nor disagree" "Agree a little" "Neither agree nor disagree" "Agree moderately" "Agree moderately" "Agree moderately" "Diagree strongly" "Agree moderately" "Disagree a little" Enough "A Lot" Enough "Not At All" "A Lot" "A Lot" "A Lot" "A Little" Moderately Enough "A Very Little" "A Very Little" "A Lot" "A Lot" Moderately "Not At All"
71 71 "Viet Nam" 1998 Male  CAH15-02	Economics 1 "WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,FINANCIAL AND INSURANCE ACTIVITIES,OTHER SERVICE ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat disagree" "Strongly agree" "Agree moderately" "Neither agree nor disagree" "Agree moderately" "Diagree strongly" "Agree strongly" "Agree a little" "Agree moderately" "Diagree strongly" "Agree strongly" "Diagree strongly" "A Lot" "A Lot" Moderately "Not At All" "A Lot" Exactly Exactly "A Very Little" Exactly Enough Enough "Not At All" Exactly Exactly Exactly "Not At All"
72 72 India 1984 Male  "CAH06-01	Agriculture, food and related studies"                                        
73 73 India 1997 Female  CAH10-01	Engineering 3 "INFORMATION AND COMMUNICATION,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Somewhat agree" "Neither agree nor disagree" "Somewhat agree" "Strongly agree" "Strongly agree" "Neither agree nor disagree" "Strongly agree" "Strongly agree"                          
74 74 "Sri Lanka" 1986 Female  "CAH17-01	Business and management" 12 "FINANCIAL AND INSURANCE ACTIVITIES" "I have extensive experience of teamworking" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree moderately" "Diagree strongly" "Agree moderately" "Diagree strongly" "Agree strongly" "Disagree a little" "Agree strongly" "Agree moderately" "Agree moderately" "Diagree strongly" "A Lot" Exactly Moderately "Not At All" Moderately Exactly "Not At All" "Not At All" Exactly "A Little" "Not At All" "Not At All" Exactly Exactly Enough "A Little"
75 75 "Sri Lanka" 1980 Male  "CAH17-01	Business and management"  "FINANCIAL AND INSURANCE ACTIVITIES" "I have some experience" "Strongly agree" "Strongly agree" "Somewhat agree" "Somewhat agree" "Somewhat agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree strongly" "Agree moderately" "Agree strongly" "Agree strongly" "Agree strongly" "Disagree a little" "Agree strongly" "Disagree moderately" "Agree strongly" "Disagree moderately" "A Lot" "A Lot" Enough "A Very Little" Enough "A Lot" "A Lot" "A Very Little" "A Lot" "A Little" "A Lot" "A Very Little" "A Lot" "A Lot" "A Lot" "A Very Little"
76 76 Poland 1996 Male  "CAH02-05	Medical sciences"  "MANUFACTURING,CONSTRUCTION,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES" "I have experience of teamworking and have also led teams" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Strongly agree" "Agree moderately" "Agree strongly" "Agree a little" "Diagree strongly" "Agree strongly" "Diagree strongly" "Agree strongly" "Disagree moderately" "Agree moderately" "Diagree strongly" Exactly Exactly Moderately "Not At All" Exactly Exactly Moderately "Not At All" Exactly Exactly "Not At All" "Not At All" Exactly Exactly Moderately Moderately
77 77 "Sri Lanka" 1990 Male  "CAH17-01	Business and management" 5                                       
78 78 Pakistan 1992 Male  CAH10-01	Engineering 3                                       
79 79 India 1994 Female  CAH15-02	Economics " "                                       
80 80 Nigeria 1988 Male  CAH10-01	Engineering 5                                       
